acronym,definition 1,definition 2,defintion 3,defintion 4
AP , access point,Asia-Pacific,accounts payable,
ASP , application service provider,average selling price,,
CMO , chief marketing officer,contract marketing organization,,
DBA , database administrator,doing business as,,
DM , data mining,direct message,,
EA , East Asia,Electronic Arts,,
ESD , electrostatic discharge,electronic software distribution,,
GM , general manager,golden master,General Motors,
HD , hard drive,high-definition,,
IE , information extraction,Microsoft Internet Explorer,,
IM , instant messaging,Internet marketing,input method,
IP , intellectual property,Internet Protocol,,
IR , information retrieval,investor relations,infrared,
KB , kilobyte,knowledge base,,
MS , manuscript,Master of Science,multiple sclerosis,Microsoft
MVP , Most Valuable Player/Professional,minimum viable product,,
NCR , numeric character reference,National Cash Register,,
NEA , National Endowment for the Arts,National Education Association,,
NIH , not invented here,National Institutes of Health,,
NPS , Net Promoter Score,U.S. National Park Service,,
PM , project manager,program manager,product manager,preventive maintenance
PMP , portable media player,Project Management Professional,,
PO , purchase order,portable object,,
POS , point of sale,part of speech,,
PR , public relations,Google PageRank,,
PS , postscript,PostScript,professional services,
PV , page view,present value,,
QA , quality assurance,question answering,,
SCM , supply chain management,software configuration management,,
SD , standard definition,Secure Digital,,
SI , system integrator,Système international d'unités (metric system),,
SL , source language,Second Life,,
SLA , service level agreement,second language acquisition,,
SM , service mark,social media,,
SME , subject matter expert,small and medium enterprise,,
SNA , social network analysis,Systems Network Architecture,,
SOC , Standard Occupational Classification,system on chip,,
TC , technical communication,text categorization,Traditional Chinese,
TDD , telecommunications device for the deaf,test-driven development,,
TM , trademark,text mining,translation memory,
VM , virtual machine,virtual memory,,
VOC , volatile organic compound,voice of the customer,,
